suite,test_name,test_id,status
test_action_guard_injection,test_23_payment_risk_reject,test_23_payment_risk_reject (tests.test_action_guard_injection.TestSensitiveOperations.test_23_payment_risk_reject),ok
test_action_guard_injection,test_24_delete_risk_reject,test_24_delete_risk_reject (tests.test_action_guard_injection.TestSensitiveOperations.test_24_delete_risk_reject),ok
test_action_guard_injection,test_25_logout_risk_ask_user,test_25_logout_risk_ask_user (tests.test_action_guard_injection.TestSensitiveOperations.test_25_logout_risk_ask_user),ok
test_action_guard_injection,test_26_password_risk_ask_user,test_26_password_risk_ask_user (tests.test_action_guard_injection.TestSensitiveOperations.test_26_password_risk_ask_user),ok
test_action_guard_injection,test_27_send_risk_ask_user,test_27_send_risk_ask_user (tests.test_action_guard_injection.TestSensitiveOperations.test_27_send_risk_ask_user),ok
test_action_guard_injection,test_28_sensitive_category,test_28_sensitive_category (tests.test_action_guard_injection.TestSensitiveOperations.test_28_sensitive_category),ok
test_action_guard_injection,test_29_action_semantics_payment,test_29_action_semantics_payment (tests.test_action_guard_injection.TestSensitiveOperations.test_29_action_semantics_payment),ok
test_action_guard_injection,test_30_action_semantics_delete,test_30_action_semantics_delete (tests.test_action_guard_injection.TestSensitiveOperations.test_30_action_semantics_delete),ok
test_action_guard_injection,test_31_sensitive_hint,test_31_sensitive_hint (tests.test_action_guard_injection.TestSensitiveOperations.test_31_sensitive_hint),ok
test_action_guard_injection,test_32_sensitive_target_role_visual,test_32_sensitive_target_role_visual (tests.test_action_guard_injection.TestSensitiveOperations.test_32_sensitive_target_role_visual),ok
test_action_guard_injection,test_33_sensitive_text_input,test_33_sensitive_text_input (tests.test_action_guard_injection.TestSensitiveOperations.test_33_sensitive_text_input),ok
test_action_guard_injection,test_34_sensitive_visual_hint,test_34_sensitive_visual_hint (tests.test_action_guard_injection.TestSensitiveOperations.test_34_sensitive_visual_hint),ok
test_action_guard_injection,test_35_purchase_risk_reject,test_35_purchase_risk_reject (tests.test_action_guard_injection.TestSensitiveOperations.test_35_purchase_risk_reject),ok
test_action_guard_injection,test_36_action_semantics_subscribe,test_36_action_semantics_subscribe (tests.test_action_guard_injection.TestSensitiveOperations.test_36_action_semantics_subscribe),ok
test_action_guard_injection,test_01_invalid_action_type,test_01_invalid_action_type (tests.test_action_guard_injection.TestUnknownActionType.test_01_invalid_action_type),ok
test_action_guard_injection,test_02_empty_action_type,test_02_empty_action_type (tests.test_action_guard_injection.TestUnknownActionType.test_02_empty_action_type),ok
test_action_guard_injection,test_03_numeric_action_type,test_03_numeric_action_type (tests.test_action_guard_injection.TestUnknownActionType.test_03_numeric_action_type),ok
test_action_guard_injection,test_04_long_action_type,test_04_long_action_type (tests.test_action_guard_injection.TestUnknownActionType.test_04_long_action_type),ok
test_action_guard_injection,test_05_spaces_action_type,test_05_spaces_action_type (tests.test_action_guard_injection.TestUnknownActionType.test_05_spaces_action_type),ok
test_verifier_four_state,test_12_vlm_explicit_failed,test_12_vlm_explicit_failed (tests.test_verifier_four_state.TestVerifierFailed.test_12_vlm_explicit_failed),ok
test_verifier_four_state,test_13_vlm_exception_returns_unknown,test_13_vlm_exception_returns_unknown (tests.test_verifier_four_state.TestVerifierFailed.test_13_vlm_exception_returns_unknown),ok
test_verifier_four_state,test_14_vlm_not_callable,test_14_vlm_not_callable (tests.test_verifier_four_state.TestVerifierFailed.test_14_vlm_not_callable),ok
test_verifier_four_state,test_18_fallback_triggers_vlm,test_18_fallback_triggers_vlm (tests.test_verifier_four_state.TestVerifierFallback.test_18_fallback_triggers_vlm),ok
test_verifier_four_state,test_19_vlm_unknown_then_reobserve,test_19_vlm_unknown_then_reobserve (tests.test_verifier_four_state.TestVerifierFallback.test_19_vlm_unknown_then_reobserve),ok
test_verifier_four_state,test_20_vlm_unknown_exceeded_returns_unknown,test_20_vlm_unknown_exceeded_returns_unknown (tests.test_verifier_four_state.TestVerifierFallback.test_20_vlm_unknown_exceeded_returns_unknown),ok
test_verifier_four_state,test_21_success_resets_counter,test_21_success_resets_counter (tests.test_verifier_four_state.TestVerifierFallback.test_21_success_resets_counter),ok
test_verifier_four_state,test_22_layered_with_no_vlm_never_success_on_not_yet,test_22_layered_with_no_vlm_never_success_on_not_yet (tests.test_verifier_four_state.TestVerifierIntegration.test_22_layered_with_no_vlm_never_success_on_not_yet),ok
test_verifier_four_state,test_23_vlm_failed_stops_loop,test_23_vlm_failed_stops_loop (tests.test_verifier_four_state.TestVerifierIntegration.test_23_vlm_failed_stops_loop),ok
test_verifier_four_state,test_06_no_target_signal,test_06_no_target_signal (tests.test_verifier_four_state.TestVerifierNotYet.test_06_no_target_signal),ok
test_verifier_four_state,test_07_layout_only_change,test_07_layout_only_change (tests.test_verifier_four_state.TestVerifierNotYet.test_07_layout_only_change),ok
test_verifier_four_state,test_08_expected_package_no_transition,test_08_expected_package_no_transition (tests.test_verifier_four_state.TestVerifierNotYet.test_08_expected_package_no_transition),ok
test_verifier_four_state,test_09_expected_activity_no_transition,test_09_expected_activity_no_transition (tests.test_verifier_four_state.TestVerifierNotYet.test_09_expected_activity_no_transition),ok
test_verifier_four_state,test_10_non_target_ocr_change,test_10_non_target_ocr_change (tests.test_verifier_four_state.TestVerifierNotYet.test_10_non_target_ocr_change),ok
test_verifier_four_state,test_11_control_bar_already_visible,test_11_control_bar_already_visible (tests.test_verifier_four_state.TestVerifierNotYet.test_11_control_bar_already_visible),ok
test_verifier_four_state,test_01_expected_package_transition,test_01_expected_package_transition (tests.test_verifier_four_state.TestVerifierSuccess.test_01_expected_package_transition),ok
test_verifier_four_state,test_02_expected_activity_transition,test_02_expected_activity_transition (tests.test_verifier_four_state.TestVerifierSuccess.test_02_expected_activity_transition),ok
test_verifier_four_state,test_03_control_bar_transition,test_03_control_bar_transition (tests.test_verifier_four_state.TestVerifierSuccess.test_03_control_bar_transition),ok
test_verifier_four_state,test_04_target_role_selected,test_04_target_role_selected (tests.test_verifier_four_state.TestVerifierSuccess.test_04_target_role_selected),ok
test_verifier_four_state,test_05_target_role_ocr_token,test_05_target_role_ocr_token (tests.test_verifier_four_state.TestVerifierSuccess.test_05_target_role_ocr_token),ok
test_verifier_four_state,test_15_unknown_not_success,test_15_unknown_not_success (tests.test_verifier_four_state.TestVerifierUnknown.test_15_unknown_not_success),ok
test_verifier_four_state,test_16_vlm_unavailable_exhausted,test_16_vlm_unavailable_exhausted (tests.test_verifier_four_state.TestVerifierUnknown.test_16_vlm_unavailable_exhausted),ok
test_verifier_four_state,test_17_unknown_in_action_loop_not_ok,test_17_unknown_in_action_loop_not_ok (tests.test_verifier_four_state.TestVerifierUnknown.test_17_unknown_in_action_loop_not_ok),ok
test_control_revealer_state_machine,test_17_new_version_preserves_old_history,test_17_new_version_preserves_old_history (tests.test_control_revealer_state_machine.TestNewVersionPreservesHistory.test_17_new_version_preserves_old_history),ok
test_control_revealer_state_machine,test_18_multiple_versions,test_18_multiple_versions (tests.test_control_revealer_state_machine.TestNewVersionPreservesHistory.test_18_multiple_versions),ok
test_control_revealer_state_machine,test_21_reveal_success_on_control_bar_visible,test_21_reveal_success_on_control_bar_visible (tests.test_control_revealer_state_machine.TestRevealSuccessConditions.test_21_reveal_success_on_control_bar_visible),ok
test_control_revealer_state_machine,test_22_reveal_success_on_target_role,test_22_reveal_success_on_target_role (tests.test_control_revealer_state_machine.TestRevealSuccessConditions.test_22_reveal_success_on_target_role),ok
test_control_revealer_state_machine,test_23_reveal_success_on_ocr_token,test_23_reveal_success_on_ocr_token (tests.test_control_revealer_state_machine.TestRevealSuccessConditions.test_23_reveal_success_on_ocr_token),ok
test_control_revealer_state_machine,test_24_reveal_not_raw_dict,test_24_reveal_not_raw_dict (tests.test_control_revealer_state_machine.TestRevealSuccessConditions.test_24_reveal_not_raw_dict),ok
test_control_revealer_state_machine,test_15_full_fields_save_load,test_15_full_fields_save_load (tests.test_control_revealer_state_machine.TestSaveLoad.test_15_full_fields_save_load),ok
test_control_revealer_state_machine,test_16_json_roundtrip,test_16_json_roundtrip (tests.test_control_revealer_state_machine.TestSaveLoad.test_16_json_roundtrip),ok
test_control_revealer_state_machine,test_19_generic_fallback_when_no_strategy,test_19_generic_fallback_when_no_strategy (tests.test_control_revealer_state_machine.TestStaleGenericFallback.test_19_generic_fallback_when_no_strategy),ok
test_control_revealer_state_machine,test_20_generic_fallback_used_in_reveal,test_20_generic_fallback_used_in_reveal (tests.test_control_revealer_state_machine.TestStaleGenericFallback.test_20_generic_fallback_used_in_reveal),ok
test_control_revealer_state_machine,test_01_initial_state_is_active,test_01_initial_state_is_active (tests.test_control_revealer_state_machine.TestStateTransitions.test_01_initial_state_is_active),ok
test_control_revealer_state_machine,test_02_active_to_probation,test_02_active_to_probation (tests.test_control_revealer_state_machine.TestStateTransitions.test_02_active_to_probation),ok
test_control_revealer_state_machine,test_03_probation_to_active,test_03_probation_to_active (tests.test_control_revealer_state_machine.TestStateTransitions.test_03_probation_to_active),ok
test_control_revealer_state_machine,test_04_probation_to_stale,test_04_probation_to_stale (tests.test_control_revealer_state_machine.TestStateTransitions.test_04_probation_to_stale),ok
test_control_revealer_state_machine,test_05_active_to_stale_consecutive,test_05_active_to_stale_consecutive (tests.test_control_revealer_state_machine.TestStateTransitions.test_05_active_to_stale_consecutive),ok
test_control_revealer_state_machine,test_06_active_to_stale_rolling_window,test_06_active_to_stale_rolling_window (tests.test_control_revealer_state_machine.TestStateTransitions.test_06_active_to_stale_rolling_window),ok
test_control_revealer_state_machine,test_07_infrastructure_failure_no_pollution,test_07_infrastructure_failure_no_pollution (tests.test_control_revealer_state_machine.TestStateTransitions.test_07_infrastructure_failure_no_pollution),ok
test_control_revealer_state_machine,test_08_success_resets_consecutive_failures,test_08_success_resets_consecutive_failures (tests.test_control_revealer_state_machine.TestStateTransitions.test_08_success_resets_consecutive_failures),ok
test_control_revealer_state_machine,test_09_filter_by_app,test_09_filter_by_app (tests.test_control_revealer_state_machine.TestStrategyFiltering.test_09_filter_by_app),ok
test_control_revealer_state_machine,test_10_filter_by_activity_pattern_match,test_10_filter_by_activity_pattern_match (tests.test_control_revealer_state_machine.TestStrategyFiltering.test_10_filter_by_activity_pattern_match),ok
test_control_revealer_state_machine,test_11_filter_by_activity_pattern_no_match,test_11_filter_by_activity_pattern_no_match (tests.test_control_revealer_state_machine.TestStrategyFiltering.test_11_filter_by_activity_pattern_no_match),ok
test_control_revealer_state_machine,test_12_filter_by_orientation_match,test_12_filter_by_orientation_match (tests.test_control_revealer_state_machine.TestStrategyFiltering.test_12_filter_by_orientation_match),ok
test_control_revealer_state_machine,test_13_filter_by_orientation_no_match,test_13_filter_by_orientation_no_match (tests.test_control_revealer_state_machine.TestStrategyFiltering.test_13_filter_by_orientation_no_match),ok
test_control_revealer_state_machine,test_14_exclude_stale,test_14_exclude_stale (tests.test_control_revealer_state_machine.TestStrategyFiltering.test_14_exclude_stale),ok
